SensorID: 5498,
Firmware Version: 1.5.5,

mm-dd,hh:mm:ss,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
2-11,14:4:38,21,21,13.19,4,37,
2-11,14:4:38,23,23,13.22,4,37,
2-11,14:4:39,22,22,13.2,4,37,
2-11,14:4:39,21,21,13.2,4,37,
2-11,14:4:40,22,22,13.21,4,37,
2-11,14:4:40,24,24,13.22,4,37,
2-11,14:4:41,24,24,13.23,4,37,
2-11,14:4:41,22,22,13.21,4,37,
2-11,14:4:42,21,21,13.2,4,37,
2-11,14:4:42,22,22,13.22,4,37,
2-11,14:4:43,22,22,13.21,4,37,
2-11,14:4:43,22,22,13.2,4,37,
2-11,14:4:44,21,21,13.2,4,37,
2-11,14:4:44,22,22,13.21,4,37,
2-11,14:4:45,25,25,13.24,4,37,
2-11,14:4:45,22,22,13.21,4,37,
2-11,14:4:46,21,21,13.21,4,37,
2-11,14:4:46,21,21,13.21,4,37,
2-11,14:4:47,23,23,13.22,4,37,
2-11,14:4:47,19,19,13.19,4,37,
2-11,14:4:48,22,22,13.23,4,37,
2-11,14:4:48,19,19,13.2,4,37,
2-11,14:4:49,21,21,13.21,4,37,
2-11,14:4:49,20,20,13.21,4,37,
2-11,14:4:50,21,21,13.21,4,37,
2-11,14:4:50,19,19,13.2,4,37,
2-11,14:4:51,22,22,13.23,4,37,
2-11,14:4:51,27,27,13.26,4,37,
2-11,14:4:52,20,20,13.2,4,37,
2-11,14:4:52,20,20,13.22,4,37,
2-11,14:4:53,23,23,13.24,4,37,
2-11,14:4:53,21,21,13.23,4,37,
2-11,14:4:54,20,20,13.2,4,37,
2-11,14:4:54,20,20,13.21,4,37,
2-11,14:4:55,23,23,13.24,4,37,
2-11,14:4:55,20,20,13.22,4,37,
2-11,14:4:56,21,21,13.22,4,37,
2-11,14:4:56,22,22,13.24,4,37,
2-11,14:4:57,18,18,13.2,4,37,
2-11,14:4:57,20,20,13.22,4,37,
2-11,14:4:58,23,23,13.25,4,37,
2-11,14:4:58,21,21,13.23,4,37,
2-11,14:4:59,19,19,13.22,4,37,
2-11,14:4:59,19,19,13.2,4,37,
2-11,14:5:0,17,17,13.19,4,37,
2-11,14:5:0,20,20,13.22,4,37,
2-11,14:5:1,17,17,13.19,4,37,
2-11,14:5:1,22,22,13.24,4,37,
2-11,14:5:2,19,19,13.22,4,37,
2-11,14:5:2,20,20,13.22,4,37,
2-11,14:5:3,23,23,13.26,4,37,
2-11,14:5:3,19,19,13.21,4,37,
2-11,14:5:4,20,20,13.23,4,37,
2-11,14:5:4,20,20,13.22,4,37,
2-11,14:5:5,17,17,13.21,4,37,
2-11,14:5:5,19,19,13.21,4,37,
2-11,14:5:6,20,20,13.24,4,37,
2-11,14:5:6,18,18,13.21,4,37,
2-11,14:5:7,16,16,13.2,4,37,
2-11,14:5:7,17,17,13.2,4,37,
2-11,14:5:8,19,19,13.22,4,37,
2-11,14:5:8,18,18,13.22,4,37,
2-11,14:5:9,21,21,13.25,4,37,
2-11,14:5:9,16,16,13.2,4,37,
2-11,14:5:10,21,21,13.24,4,37,
2-11,14:5:10,19,19,13.23,4,37,
2-11,14:5:11,19,19,13.22,4,37,
2-11,14:5:11,17,17,13.21,4,37,
2-11,14:5:12,18,18,13.23,4,37,
2-11,14:5:12,18,18,13.22,4,37,
2-11,14:5:13,16,16,13.21,4,37,
2-11,14:5:13,16,16,13.21,4,37,
2-11,14:5:14,19,19,13.24,4,37,
2-11,14:5:14,16,16,13.2,4,37,
2-11,14:5:15,19,19,13.24,4,37,
2-11,14:5:15,16,16,13.21,4,37,
2-11,14:5:16,18,18,13.23,4,37,
2-11,14:5:16,15,15,13.21,4,37,
2-11,14:5:17,13,13,13.19,4,37,
2-11,14:5:17,17,17,13.22,4,37,
2-11,14:5:18,18,18,13.22,4,37,
2-11,14:5:18,17,17,13.22,4,37,
2-11,14:5:19,18,18,13.23,4,37,
2-11,14:5:19,22,22,13.27,4,37,
2-11,14:5:20,16,16,13.22,4,37,
2-11,14:5:20,19,19,13.24,4,37,
2-11,14:5:21,14,14,13.21,4,37,
2-11,14:5:21,16,16,13.22,4,37,
2-11,14:5:22,16,16,13.23,4,37,
2-11,14:5:22,17,17,13.23,4,37,
2-11,14:5:23,17,17,13.23,4,37,
2-11,14:5:23,16,16,13.23,4,37,
2-11,14:5:24,15,15,13.22,4,37,
2-11,14:5:24,13,13,13.21,4,37,
2-11,14:5:25,16,16,13.22,4,37,
2-11,14:5:25,15,15,13.21,4,37,
2-11,14:5:26,15,15,13.22,4,37,
2-11,14:5:26,18,18,13.25,4,37,
2-11,14:5:27,15,15,13.24,4,37,
2-11,14:5:27,13,13,13.21,4,37,
2-11,14:5:28,16,16,13.25,4,37,
2-11,14:5:28,15,15,13.24,4,37,
2-11,14:5:29,16,16,13.25,4,37,
2-11,14:5:29,14,14,13.21,4,37,
2-11,14:5:30,14,14,13.22,4,37,
2-11,14:5:30,13,13,13.22,4,37,
2-11,14:5:31,15,15,13.23,4,37,
2-11,14:5:31,14,14,13.23,4,37,
2-11,14:5:32,13,13,13.22,4,37,
2-11,14:5:32,12,12,13.21,4,37,
2-11,14:5:33,15,15,13.24,4,37,
2-11,14:5:33,12,12,13.21,4,37,
2-11,14:5:34,13,13,13.21,4,37,
2-11,14:5:34,13,13,13.22,4,37,
2-11,14:5:35,14,14,13.24,4,37,
2-11,14:5:35,13,13,13.22,4,37,
2-11,14:5:36,13,13,13.24,4,37,
2-11,14:5:36,13,13,13.23,4,37,
2-11,14:5:37,14,14,13.23,4,37,
2-11,14:5:37,11,11,13.22,4,37,
2-11,14:5:38,16,16,13.25,4,37,
2-11,14:5:38,12,12,13.22,4,37,
2-11,14:5:39,14,14,13.23,4,37,
2-11,14:5:39,11,11,13.22,4,37,
2-11,14:5:40,12,12,13.22,4,37,
2-11,14:5:40,14,14,13.24,4,37,
2-11,14:5:41,11,11,13.22,4,37,
2-11,14:5:41,14,14,13.25,4,37,
2-11,14:5:42,13,13,13.24,4,37,
2-11,14:5:42,12,12,13.23,4,37,
2-11,14:5:43,10,10,13.21,4,37,
2-11,14:5:43,14,14,13.25,4,37,
2-11,14:5:44,10,10,13.21,4,37,
2-11,14:5:44,13,13,13.24,4,37,
2-11,14:5:45,14,14,13.25,4,37,
2-11,14:5:45,11,11,13.22,4,37,
2-11,14:5:46,11,11,13.23,4,37,
2-11,14:5:46,13,13,13.25,4,37,
2-11,14:5:47,12,12,13.23,4,37,
2-11,14:5:47,12,12,13.22,4,37,
2-11,14:5:48,11,11,13.23,4,37,
2-11,14:5:48,12,12,13.23,4,37,
2-11,14:5:49,11,11,13.24,4,37,
2-11,14:5:49,12,12,13.24,4,37,
2-11,14:5:50,9,9,13.21,4,37,
2-11,14:5:50,9,9,13.22,4,37,
2-11,14:5:51,12,12,13.23,4,37,
2-11,14:5:51,12,12,13.24,4,37,
2-11,14:5:52,12,12,13.24,4,37,
2-11,14:5:52,9,9,13.21,4,37,
2-11,14:5:53,9,9,13.22,4,37,
